Player_ID,Player,Negotiations,Fights,Total
705849,lasherbob,0,4525,4525
1758550,marco965,0,4386,4386
47808,vagelis99,0,3799,3799
853257593,Footsoldier,2,3783,3787
12782869,Qi the coconut,0,3560,3560
849762034,Diddler,0,3505,3505
4225910,Hadrian the Intrepid 121,0,3432,3432
7954450,Bloody Pastor,66,3173,3305
855031788,Blackcong,0,3014,3014
45238,Frodoo,0,2936,2936
851598404,-Baba Yaga-,0,2860,2860
2277993,Crusaderx,0,2833,2833
8622496,Waynes world1,0,2653,2653
851800597,Meandmyself,0,2322,2322
853774595,Mr Sonic,0,2183,2183
9795849,Magnus the Terrible 439,245,1587,2077
4194345,becop,0,2071,2071
11807816,Dpunk,0,1964,1964
10593569,Badvok the Bold,0,1830,1830
1891201,edman4444,0,1734,1734
1428445,MarkD1964,0,1563,1563
851914808,Selene the Blessed 1233,0,1294,1294
827787,pywackit,0,1284,1284
851616738,MagicI,0,1279,1279
850445151,Swan76,7,1242,1256
849612867,TINY HEROS,0,1163,1163
4749897,DutchTheIV,0,1162,1162
854648420,Pollar,0,1139,1139
1148549,mehdialone,0,1109,1109
855546281,pForm,0,1089,1089
849603210,TSTT,0,1037,1037
850665098,Ellwinara,0,1026,1026
853520455,Phillip the Fair,0,1009,1009
104779,VITORO,0,975,975
854719004,soldier00,0,942,942
854681998,Zodman,0,838,838
11245188,Bernini,0,823,823
853735377,MOMIS,0,809,809
850331824,Brocksta,0,802,802
6730017,Peace.,0,779,779
851298155,willow324,0,770,770
855299275,Thesseuss,0,752,752
6141929,Carra,0,724,724
4765723,djcdjc,0,718,718
853116853,Master Jai,0,687,687
9762415,0p1ate,0,670,670
12992719,ChilliBeanz62,0,668,668
5374197,Pammy Norrie,0,659,659
850481022,TRTLC,0,648,648
853267111,Kuniggsbog,0,582,582
854554840,SirRobert Artur,0,578,578
851585890,SharpSabrina,0,576,576
5367654,King John of Ambler,0,552,552
850518321,alterdestiny,0,497,497
11899618,Master A,0,479,479
849380627,FastGunner,0,475,475
1436378,Dn4lor,0,456,456
13309306,Ser Arthur Dayne.,0,443,443
854882618,CCCC123,0,429,429
850938639,Green II,0,421,421
2465641,=Alpha=Wolf=,0,409,409
12714764,Jaffa The O,0,407,407
850307582,Rex Bellator,0,369,369
9574867,Salikas,0,300,300
761097,gareth dragonsbane,0,280,280
854714000,sixtyodin,0,279,279
849566070,Aspandiat,0,245,245
1724508,cvetkovic,0,244,244
11482655,El Kabong,0,231,231
852293256,Rolanddd,0,155,155
