Player_ID;Player;Actions;Progress
12782869;Qi the coconut;2244800;6390
10593569;Badvok the Bold;1850700;5260
1428445;MarkD1964;1717900;4870
13086826;Alex The Great;1710600;4850
6730017;Peace.;1700100;4830
2277993;Crusaderx;1652100;4690
854681998;Zodman;1623800;4620
853267111;Kuniggsbog;1620300;4610
2279421;Warriorpoet;1569200;4450
47808;vagelis99;1540700;4380
339141;Mikeytheonly;1544000;4370
854172183;GabyBB;1516900;4300
6723349;inb0x;1502900;4260
850665098;Ellwinara;1490600;4230
705849;lasherbob;1485700;4230
1436378;Dn4lor;1484400;4210
1891201;edman4444;1473500;4190
851616738;MagicI;1467100;4160
849645425;TJunior;1466300;4120
849566070;Aspandiat;1451100;4120
852162955;Sean the Unsteady;1450200;4080
849603210;TSTT;1441600;4080
4194345;becop;1434300;4070
849762034;Diddler;1428600;4060
849380627;FastGunner;1429200;4050
8306456;SCOTTBUL;1431500;4040
11807816;Dpunk;1410800;3990
850518321;alterdestiny;1403500;3990
852437505;Rhino8;1400300;3980
45238;Frodoo;1388400;3950
12213472;Crazy Caveman;1388700;3930
850445151;Swan76;1386100;3930
853774595;Mr Sonic;1372800;3900
5367654;King John of Ambler;1358000;3840
2465641;=Alpha=Wolf=;1336700;3780
852293256;Rolanddd;1323600;3750
12992719;ChilliBeanz62;1319700;3750
11245188;Bernini;1314100;3730
849612867;TINY HEROS;1289200;3660
4225910;Hadrian the Intrepid 121;1288500;3660
1148549;mehdialone;1282000;3640
4765723;djcdjc;1276300;3620
851800597;Meandmyself;1275300;3620
7330083;S3xy Beast;1271900;3610
827787;pywackit;1274300;3590
9762415;0p1ate;1266100;3590
851894029;Afrodite1;1244400;3510
5085500;Tarquinus the Lion 254;1222500;3460
853520455;Phillip the Fair;1219900;3410
11905133;Catacus;1199000;3400
8622496;Waynes world1;1193100;3390
851598404;Khan Dada;1177600;3320
850307582;Rex Bellator;1166100;3310
851298155;willow324;1162600;3300
9795849;Magnus the Terrible 439;1161200;3300
5374197;Pammy Norrie;1150100;3260
6141929;Carra;1108600;3150
1724508;cvetkovic;1117900;3130
13309306;Ser Arthur Dayne.;1107700;3130
40674;vfrmark;1005000;2840
1704186;Old No 7;927400;2630
11482655;El Kabong;915700;2550
104779;VITORO;883600;2470
4749897;DutchTheIV;864100;2450
853132263;Joan of Arc 180;813000;2310
10908871;Meru;733700;2080
850938639;Green II;613000;1740
851362281;Diabsian;583300;1650
853797540;Odinn;556800;1570
853116853;Master Jai;520900;1470
851549132;Herak;505300;1410
1726167;Bendrr;465200;1310
12714764;Jaffa The O;422000;1190
12985636;Thea the White 934;0;0
